,id,content,tokens,features,sentiment
181,carinadiego,Anxiety a thousand #21dias,"['anxiety', 'thousand', '21dias']","{'length': 23, 'lexdiv': 1.0, 'longestword': 'thousand', 'unigram(anxiety)': True, 'unigram(thousand)': True, 'unigram(21dias)': True, ""bigram(('anxiety', 'thousand'))"": True, ""bigram(('thousand', '21dias'))"": True, ""trigram(('anxiety', 'thousand', '21dias'))"": True}",worry
182,delson-viviane,"Hello, brides! I'm going to leave here an invitation tip for godparents. Me and my fiancé did following this tutorial https://youtu.be/JHb-jzLbQr4 We were putting it our way... we love the result! 😍","['hello', 'brides', 'im', 'going', 'leave', 'invitation', 'tip', 'godparents', 'fiancé', 'following', 'tutorial', 'putting', 'way', 'love', 'result', '😍']","{'length': 105, 'lexdiv': 1.0, 'longestword': 'godparents', 'unigram(hello)': True, 'unigram(brides)': True, 'unigram(im)': True, 'unigram(going)': True, 'unigram(leave)': True, 'unigram(invitation)': True, 'unigram(tip)': True, 'unigram(godparents)': True, 'unigram(fiancé)': True, 'unigram(following)': True, 'unigram(tutorial)': True, 'unigram(putting)': True, 'unigram(way)': True, 'unigram(love)': True, 'unigram(result)': True, 'unigram(😍)': True, ""bigram(('hello', 'brides'))"": True, ""bigram(('brides', 'im'))"": True, ""bigram(('im', 'going'))"": True, ""bigram(('going', 'leave'))"": True, ""bigram(('leave', 'invitation'))"": True, ""bigram(('invitation', 'tip'))"": True, ""bigram(('tip', 'godparents'))"": True, ""bigram(('godparents', 'fiancé'))"": True, ""bigram(('fiancé', 'following'))"": True, ""bigram(('following', 'tutorial'))"": True, ""bigram(('tutorial', 'putting'))"": True, ""bigram(('putting', 'way'))"": True, ""bigram(('way', 'love'))"": True, ""bigram(('love', 'result'))"": True, ""bigram(('result', '😍'))"": True, ""trigram(('hello', 'brides', 'im'))"": True, ""trigram(('brides', 'im', 'going'))"": True, ""trigram(('im', 'going', 'leave'))"": True, ""trigram(('going', 'leave', 'invitation'))"": True, ""trigram(('leave', 'invitation', 'tip'))"": True, ""trigram(('invitation', 'tip', 'godparents'))"": True, ""trigram(('tip', 'godparents', 'fiancé'))"": True, ""trigram(('godparents', 'fiancé', 'following'))"": True, ""trigram(('fiancé', 'following', 'tutorial'))"": True, ""trigram(('following', 'tutorial', 'putting'))"": True, ""trigram(('tutorial', 'putting', 'way'))"": True, ""trigram(('putting', 'way', 'love'))"": True, ""trigram(('way', 'love', 'result'))"": True, ""trigram(('love', 'result', '😍'))"": True}",relief
183,gabriel-debora-2019,BH brides and region! check the work of @pamelalourencoph and @emersonsilvaph photographers on instagram. AMAZING WORK!! SUPER INDICO!!!,"['bh', 'brides', 'region', 'check', 'work', 'photographers', 'instagram', 'amazing', 'work', 'super', 'indico']","{'length': 77, 'lexdiv': 0.9090909090909091, 'longestword': 'photographers', 'repeats(work)': 2, 'unigram(bh)': True, 'unigram(brides)': True, 'unigram(region)': True, 'unigram(check)': True, 'unigram(work)': True, 'unigram(photographers)': True, 'unigram(instagram)': True, 'unigram(amazing)': True, 'unigram(super)': True, 'unigram(indico)': True, ""bigram(('bh', 'brides'))"": True, ""bigram(('brides', 'region'))"": True, ""bigram(('region', 'check'))"": True, ""bigram(('check', 'work'))"": True, ""bigram(('work', 'photographers'))"": True, ""bigram(('photographers', 'instagram'))"": True, ""bigram(('instagram', 'amazing'))"": True, ""bigram(('amazing', 'work'))"": True, ""bigram(('work', 'super'))"": True, ""bigram(('super', 'indico'))"": True, ""trigram(('bh', 'brides', 'region'))"": True, ""trigram(('brides', 'region', 'check'))"": True, ""trigram(('region', 'check', 'work'))"": True, ""trigram(('check', 'work', 'photographers'))"": True, ""trigram(('work', 'photographers', 'instagram'))"": True, ""trigram(('photographers', 'instagram', 'amazing'))"": True, ""trigram(('instagram', 'amazing', 'work'))"": True, ""trigram(('amazing', 'work', 'super'))"": True, ""trigram(('work', 'super', 'indico'))"": True}",relief
184,patricia-euzebio,We are very happy to be able to mark the date of our “my” dreamed wedding of veil and wreath ☺️ Believe in your dreams! 😍,"['happy', 'able', 'mark', 'date', '“', '”', 'dreamed', 'wedding', 'veil', 'wreath', '☺️', 'believe', 'dreams', '😍']","{'length': 72, 'lexdiv': 1.0, 'longestword': 'believe', 'unigram(happy)': True, 'unigram(able)': True, 'unigram(mark)': True, 'unigram(date)': True, 'unigram(“)': True, 'unigram(”)': True, 'unigram(dreamed)': True, 'unigram(wedding)': True, 'unigram(veil)': True, 'unigram(wreath)': True, 'unigram(☺️)': True, 'unigram(believe)': True, 'unigram(dreams)': True, 'unigram(😍)': True, ""bigram(('happy', 'able'))"": True, ""bigram(('able', 'mark'))"": True, ""bigram(('mark', 'date'))"": True, ""bigram(('date', '“'))"": True, ""bigram(('“', '”'))"": True, ""bigram(('”', 'dreamed'))"": True, ""bigram(('dreamed', 'wedding'))"": True, ""bigram(('wedding', 'veil'))"": True, ""bigram(('veil', 'wreath'))"": True, ""bigram(('wreath', '☺️'))"": True, ""bigram(('☺️', 'believe'))"": True, ""bigram(('believe', 'dreams'))"": True, ""bigram(('dreams', '😍'))"": True, ""trigram(('happy', 'able', 'mark'))"": True, ""trigram(('able', 'mark', 'date'))"": True, ""trigram(('mark', 'date', '“'))"": True, ""trigram(('date', '“', '”'))"": True, ""trigram(('“', '”', 'dreamed'))"": True, ""trigram(('”', 'dreamed', 'wedding'))"": True, ""trigram(('dreamed', 'wedding', 'veil'))"": True, ""trigram(('wedding', 'veil', 'wreath'))"": True, ""trigram(('veil', 'wreath', '☺️'))"": True, ""trigram(('wreath', '☺️', 'believe'))"": True, ""trigram(('☺️', 'believe', 'dreams'))"": True, ""trigram(('believe', 'dreams', '😍'))"": True}",love
185,casamentomawee,60 days left for yes < 3,"['60', 'days', 'left', 'yes', '3']","{'length': 18, 'lexdiv': 1.0, 'longestword': 'left', 'unigram(60)': True, 'unigram(days)': True, 'unigram(left)': True, 'unigram(yes)': True, 'unigram(3)': True, ""bigram(('60', 'days'))"": True, ""bigram(('days', 'left'))"": True, ""bigram(('left', 'yes'))"": True, ""bigram(('yes', '3'))"": True, ""trigram(('60', 'days', 'left'))"": True, ""trigram(('days', 'left', 'yes'))"": True, ""trigram(('left', 'yes', '3'))"": True}",relief
186,jose-aninha,Our destinies have been plotted...,"['destinies', 'plotted']","{'length': 17, 'lexdiv': 1.0, 'longestword': 'destinies', 'unigram(destinies)': True, 'unigram(plotted)': True, ""bigram(('destinies', 'plotted'))"": True}",neutral
187,gabriel-debora-2019,Is anyone else having trouble with the cold spot wedding list/Bahia houses? by mobile my guests are not getting to buy!! HELP! HELP!,"['anyone', 'else', 'trouble', 'cold', 'spot', 'wedding', 'list/bahia', 'houses', 'mobile', 'guests', 'getting', 'buy', 'help', 'help']","{'length': 91, 'lexdiv': 0.9285714285714286, 'longestword': 'getting', 'repeats(help)': 2, 'unigram(anyone)': True, 'unigram(else)': True, 'unigram(trouble)': True, 'unigram(cold)': True, 'unigram(spot)': True, 'unigram(wedding)': True, 'unigram(list/bahia)': True, 'unigram(houses)': True, 'unigram(mobile)': True, 'unigram(guests)': True, 'unigram(getting)': True, 'unigram(buy)': True, 'unigram(help)': True, ""bigram(('anyone', 'else'))"": True, ""bigram(('else', 'trouble'))"": True, ""bigram(('trouble', 'cold'))"": True, ""bigram(('cold', 'spot'))"": True, ""bigram(('spot', 'wedding'))"": True, ""bigram(('wedding', 'list/bahia'))"": True, ""bigram(('list/bahia', 'houses'))"": True, ""bigram(('houses', 'mobile'))"": True, ""bigram(('mobile', 'guests'))"": True, ""bigram(('guests', 'getting'))"": True, ""bigram(('getting', 'buy'))"": True, ""bigram(('buy', 'help'))"": True, ""bigram(('help', 'help'))"": True, ""trigram(('anyone', 'else', 'trouble'))"": True, ""trigram(('else', 'trouble', 'cold'))"": True, ""trigram(('trouble', 'cold', 'spot'))"": True, ""trigram(('cold', 'spot', 'wedding'))"": True, ""trigram(('spot', 'wedding', 'list/bahia'))"": True, ""trigram(('wedding', 'list/bahia', 'houses'))"": True, ""trigram(('list/bahia', 'houses', 'mobile'))"": True, ""trigram(('houses', 'mobile', 'guests'))"": True, ""trigram(('mobile', 'guests', 'getting'))"": True, ""trigram(('guests', 'getting', 'buy'))"": True, ""trigram(('getting', 'buy', 'help'))"": True, ""trigram(('buy', 'help', 'help'))"": True}",hate
188,antoniela-vladimir,Be happy,['happy'],"{'length': 5, 'lexdiv': 1.0, 'longestword': 'happy', 'unigram(happy)': True}",love
189,jaqueline-luiz-2019,"It's coming, ooo!","['coming', 'ooo']","{'length': 10, 'lexdiv': 1.0, 'longestword': 'coming', 'unigram(coming)': True, 'unigram(ooo)': True, ""bigram(('coming', 'ooo'))"": True}",neutral
190,gleica-diego,"Just for the record out there, all my love is yours! #Pré -Wedding #VemSetembro","['record', 'love', 'pré', '-wedding', 'vemsetembro']","{'length': 36, 'lexdiv': 1.0, 'longestword': 'vemsetembro', 'unigram(record)': True, 'unigram(love)': True, 'unigram(pré)': True, 'unigram(-wedding)': True, 'unigram(vemsetembro)': True, ""bigram(('record', 'love'))"": True, ""bigram(('love', 'pré'))"": True, ""bigram(('pré', '-wedding'))"": True, ""bigram(('-wedding', 'vemsetembro'))"": True, ""trigram(('record', 'love', 'pré'))"": True, ""trigram(('love', 'pré', '-wedding'))"": True, ""trigram(('pré', '-wedding', 'vemsetembro'))"": True}",love
191,gabriel-debora-2019,43 days! if I'm anxious? NAADA! ALMOST NOTHING! !!!!!!!!!!,"['43', 'days', 'im', 'anxious', 'naada', 'almost', 'nothing']","{'length': 39, 'lexdiv': 1.0, 'longestword': 'nothing', 'unigram(43)': True, 'unigram(days)': True, 'unigram(im)': True, 'unigram(anxious)': True, 'unigram(naada)': True, 'unigram(almost)': True, 'unigram(nothing)': True, ""bigram(('43', 'days'))"": True, ""bigram(('days', 'im'))"": True, ""bigram(('im', 'anxious'))"": True, ""bigram(('anxious', 'naada'))"": True, ""bigram(('naada', 'almost'))"": True, ""bigram(('almost', 'nothing'))"": True, ""trigram(('43', 'days', 'im'))"": True, ""trigram(('days', 'im', 'anxious'))"": True, ""trigram(('im', 'anxious', 'naada'))"": True, ""trigram(('anxious', 'naada', 'almost'))"": True, ""trigram(('naada', 'almost', 'nothing'))"": True}",relief
192,leandro-camila-2019,"Everything turned out to be sensational! Amazing experience this 45-day journey from the day we decided to hold a ceremony until the day it happens... Everything went too fast and the adrenaline was a thousand, as a result? A wonderful day with the guests and a passionate ceremony!","['everything', 'turned', 'sensational', 'amazing', 'experience', '45-day', 'journey', 'day', 'decided', 'hold', 'ceremony', 'day', 'happens', 'everything', 'went', 'fast', 'adrenaline', 'thousand', 'result', 'wonderful', 'day', 'guests', 'passionate', 'ceremony']","{'length': 190, 'lexdiv': 0.8333333333333334, 'longestword': 'sensational', 'repeats(everything)': 2, 'repeats(day)': 4, 'repeats(ceremony)': 2, 'unigram(everything)': True, 'unigram(turned)': True, 'unigram(sensational)': True, 'unigram(amazing)': True, 'unigram(experience)': True, 'unigram(45-day)': True, 'unigram(journey)': True, 'unigram(day)': True, 'unigram(decided)': True, 'unigram(hold)': True, 'unigram(ceremony)': True, 'unigram(happens)': True, 'unigram(went)': True, 'unigram(fast)': True, 'unigram(adrenaline)': True, 'unigram(thousand)': True, 'unigram(result)': True, 'unigram(wonderful)': True, 'unigram(guests)': True, 'unigram(passionate)': True, ""bigram(('everything', 'turned'))"": True, ""bigram(('turned', 'sensational'))"": True, ""bigram(('sensational', 'amazing'))"": True, ""bigram(('amazing', 'experience'))"": True, ""bigram(('experience', '45-day'))"": True, ""bigram(('45-day', 'journey'))"": True, ""bigram(('journey', 'day'))"": True, ""bigram(('day', 'decided'))"": True, ""bigram(('decided', 'hold'))"": True, ""bigram(('hold', 'ceremony'))"": True, ""bigram(('ceremony', 'day'))"": True, ""bigram(('day', 'happens'))"": True, ""bigram(('happens', 'everything'))"": True, ""bigram(('everything', 'went'))"": True, ""bigram(('went', 'fast'))"": True, ""bigram(('fast', 'adrenaline'))"": True, ""bigram(('adrenaline', 'thousand'))"": True, ""bigram(('thousand', 'result'))"": True, ""bigram(('result', 'wonderful'))"": True, ""bigram(('wonderful', 'day'))"": True, ""bigram(('day', 'guests'))"": True, ""bigram(('guests', 'passionate'))"": True, ""bigram(('passionate', 'ceremony'))"": True, ""trigram(('everything', 'turned', 'sensational'))"": True, ""trigram(('turned', 'sensational', 'amazing'))"": True, ""trigram(('sensational', 'amazing', 'experience'))"": True, ""trigram(('amazing', 'experience', '45-day'))"": True, ""trigram(('experience', '45-day', 'journey'))"": True, ""trigram(('45-day', 'journey', 'day'))"": True, ""trigram(('journey', 'day', 'decided'))"": True, ""trigram(('day', 'decided', 'hold'))"": True, ""trigram(('decided', 'hold', 'ceremony'))"": True, ""trigram(('hold', 'ceremony', 'day'))"": True, ""trigram(('ceremony', 'day', 'happens'))"": True, ""trigram(('day', 'happens', 'everything'))"": True, ""trigram(('happens', 'everything', 'went'))"": True, ""trigram(('everything', 'went', 'fast'))"": True, ""trigram(('went', 'fast', 'adrenaline'))"": True, ""trigram(('fast', 'adrenaline', 'thousand'))"": True, ""trigram(('adrenaline', 'thousand', 'result'))"": True, ""trigram(('thousand', 'result', 'wonderful'))"": True, ""trigram(('result', 'wonderful', 'day'))"": True, ""trigram(('wonderful', 'day', 'guests'))"": True, ""trigram(('day', 'guests', 'passionate'))"": True, ""trigram(('guests', 'passionate', 'ceremony'))"": True}",relief
193,layza-wilson,"I just started using it a little while ago, but... It helps to clear doubt! 😊","['started', 'using', 'little', 'ago', 'helps', 'clear', 'doubt', '😊']","{'length': 44, 'lexdiv': 1.0, 'longestword': 'started', 'unigram(started)': True, 'unigram(using)': True, 'unigram(little)': True, 'unigram(ago)': True, 'unigram(helps)': True, 'unigram(clear)': True, 'unigram(doubt)': True, 'unigram(😊)': True, ""bigram(('started', 'using'))"": True, ""bigram(('using', 'little'))"": True, ""bigram(('little', 'ago'))"": True, ""bigram(('ago', 'helps'))"": True, ""bigram(('helps', 'clear'))"": True, ""bigram(('clear', 'doubt'))"": True, ""bigram(('doubt', '😊'))"": True, ""trigram(('started', 'using', 'little'))"": True, ""trigram(('using', 'little', 'ago'))"": True, ""trigram(('little', 'ago', 'helps'))"": True, ""trigram(('ago', 'helps', 'clear'))"": True, ""trigram(('helps', 'clear', 'doubt'))"": True, ""trigram(('clear', 'doubt', '😊'))"": True}",surprise
194,layza-wilson,"I prefer in hot season because the dress I intend to wear a bolder dress in December, but this is a busy month and is usually more expensive!","['prefer', 'hot', 'season', 'dress', 'intend', 'wear', 'bolder', 'dress', 'december', 'busy', 'month', 'usually', 'expensive']","{'length': 86, 'lexdiv': 0.9230769230769231, 'longestword': 'expensive', 'repeats(dress)': 2, 'unigram(prefer)': True, 'unigram(hot)': True, 'unigram(season)': True, 'unigram(dress)': True, 'unigram(intend)': True, 'unigram(wear)': True, 'unigram(bolder)': True, 'unigram(december)': True, 'unigram(busy)': True, 'unigram(month)': True, 'unigram(usually)': True, 'unigram(expensive)': True, ""bigram(('prefer', 'hot'))"": True, ""bigram(('hot', 'season'))"": True, ""bigram(('season', 'dress'))"": True, ""bigram(('dress', 'intend'))"": True, ""bigram(('intend', 'wear'))"": True, ""bigram(('wear', 'bolder'))"": True, ""bigram(('bolder', 'dress'))"": True, ""bigram(('dress', 'december'))"": True, ""bigram(('december', 'busy'))"": True, ""bigram(('busy', 'month'))"": True, ""bigram(('month', 'usually'))"": True, ""bigram(('usually', 'expensive'))"": True, ""trigram(('prefer', 'hot', 'season'))"": True, ""trigram(('hot', 'season', 'dress'))"": True, ""trigram(('season', 'dress', 'intend'))"": True, ""trigram(('dress', 'intend', 'wear'))"": True, ""trigram(('intend', 'wear', 'bolder'))"": True, ""trigram(('wear', 'bolder', 'dress'))"": True, ""trigram(('bolder', 'dress', 'december'))"": True, ""trigram(('dress', 'december', 'busy'))"": True, ""trigram(('december', 'busy', 'month'))"": True, ""trigram(('busy', 'month', 'usually'))"": True, ""trigram(('month', 'usually', 'expensive'))"": True}",hate
195,daiana-daniel-2019,"“The perfect couple may be the one who does not give up chasing after the dream and, despite the grief, each day they would choose themselves again.” Lya Luft","['“', 'perfect', 'couple', 'may', 'one', 'give', 'chasing', 'dream', 'despite', 'grief', 'day', 'would', 'choose', 'again.', '”', 'lya', 'luft']","{'length': 92, 'lexdiv': 1.0, 'longestword': 'despite', 'unigram(“)': True, 'unigram(perfect)': True, 'unigram(couple)': True, 'unigram(may)': True, 'unigram(one)': True, 'unigram(give)': True, 'unigram(chasing)': True, 'unigram(dream)': True, 'unigram(despite)': True, 'unigram(grief)': True, 'unigram(day)': True, 'unigram(would)': True, 'unigram(choose)': True, 'unigram(again.)': True, 'unigram(”)': True, 'unigram(lya)': True, 'unigram(luft)': True, ""bigram(('“', 'perfect'))"": True, ""bigram(('perfect', 'couple'))"": True, ""bigram(('couple', 'may'))"": True, ""bigram(('may', 'one'))"": True, ""bigram(('one', 'give'))"": True, ""bigram(('give', 'chasing'))"": True, ""bigram(('chasing', 'dream'))"": True, ""bigram(('dream', 'despite'))"": True, ""bigram(('despite', 'grief'))"": True, ""bigram(('grief', 'day'))"": True, ""bigram(('day', 'would'))"": True, ""bigram(('would', 'choose'))"": True, ""bigram(('choose', 'again.'))"": True, ""bigram(('again.', '”'))"": True, ""bigram(('”', 'lya'))"": True, ""bigram(('lya', 'luft'))"": True, ""trigram(('“', 'perfect', 'couple'))"": True, ""trigram(('perfect', 'couple', 'may'))"": True, ""trigram(('couple', 'may', 'one'))"": True, ""trigram(('may', 'one', 'give'))"": True, ""trigram(('one', 'give', 'chasing'))"": True, ""trigram(('give', 'chasing', 'dream'))"": True, ""trigram(('chasing', 'dream', 'despite'))"": True, ""trigram(('dream', 'despite', 'grief'))"": True, ""trigram(('despite', 'grief', 'day'))"": True, ""trigram(('grief', 'day', 'would'))"": True, ""trigram(('day', 'would', 'choose'))"": True, ""trigram(('would', 'choose', 'again.'))"": True, ""trigram(('choose', 'again.', '”'))"": True, ""trigram(('again.', '”', 'lya'))"": True, ""trigram(('”', 'lya', 'luft'))"": True}",surprise
196,daiana-daniel-2019,In love *________ *,"['love', '*________']","{'length': 14, 'lexdiv': 1.0, 'longestword': 'love', 'unigram(love)': True, 'unigram(*________)': True, ""bigram(('love', '*________'))"": True}",love
197,danielle-alexander,- Yeah.,['yeah'],"{'length': 4, 'lexdiv': 1.0, 'longestword': 'yeah', 'unigram(yeah)': True}",neutral
198,tamiris-geovane,Our bride's tea was a success!,"['brides', 'tea', 'success']","{'length': 18, 'lexdiv': 1.0, 'longestword': 'success', 'unigram(brides)': True, 'unigram(tea)': True, 'unigram(success)': True, ""bigram(('brides', 'tea'))"": True, ""bigram(('tea', 'success'))"": True, ""trigram(('brides', 'tea', 'success'))"": True}",relief
199,marieric,"187 days! Oh, wow. It seems that there is so much to go and at the same time so little. So much to see and a lot of anxiety to arrive soon that day!!! We're almost crazy, but God willing, it's all worked out!","['187', 'days', 'oh', 'wow', 'seems', 'much', 'go', 'time', 'little', 'much', 'see', 'lot', 'anxiety', 'arrive', 'soon', 'day', 'almost', 'crazy', 'god', 'willing', 'worked']","{'length': 110, 'lexdiv': 0.9523809523809523, 'longestword': 'willing', 'repeats(much)': 2, 'repeats(go)': 2, 'repeats(see)': 2, 'repeats(day)': 2, 'unigram(187)': True, 'unigram(days)': True, 'unigram(oh)': True, 'unigram(wow)': True, 'unigram(seems)': True, 'unigram(much)': True, 'unigram(go)': True, 'unigram(time)': True, 'unigram(little)': True, 'unigram(see)': True, 'unigram(lot)': True, 'unigram(anxiety)': True, 'unigram(arrive)': True, 'unigram(soon)': True, 'unigram(day)': True, 'unigram(almost)': True, 'unigram(crazy)': True, 'unigram(god)': True, 'unigram(willing)': True, 'unigram(worked)': True, ""bigram(('187', 'days'))"": True, ""bigram(('days', 'oh'))"": True, ""bigram(('oh', 'wow'))"": True, ""bigram(('wow', 'seems'))"": True, ""bigram(('seems', 'much'))"": True, ""bigram(('much', 'go'))"": True, ""bigram(('go', 'time'))"": True, ""bigram(('time', 'little'))"": True, ""bigram(('little', 'much'))"": True, ""bigram(('much', 'see'))"": True, ""bigram(('see', 'lot'))"": True, ""bigram(('lot', 'anxiety'))"": True, ""bigram(('anxiety', 'arrive'))"": True, ""bigram(('arrive', 'soon'))"": True, ""bigram(('soon', 'day'))"": True, ""bigram(('day', 'almost'))"": True, ""bigram(('almost', 'crazy'))"": True, ""bigram(('crazy', 'god'))"": True, ""bigram(('god', 'willing'))"": True, ""bigram(('willing', 'worked'))"": True, ""trigram(('187', 'days', 'oh'))"": True, ""trigram(('days', 'oh', 'wow'))"": True, ""trigram(('oh', 'wow', 'seems'))"": True, ""trigram(('wow', 'seems', 'much'))"": True, ""trigram(('seems', 'much', 'go'))"": True, ""trigram(('much', 'go', 'time'))"": True, ""trigram(('go', 'time', 'little'))"": True, ""trigram(('time', 'little', 'much'))"": True, ""trigram(('little', 'much', 'see'))"": True, ""trigram(('much', 'see', 'lot'))"": True, ""trigram(('see', 'lot', 'anxiety'))"": True, ""trigram(('lot', 'anxiety', 'arrive'))"": True, ""trigram(('anxiety', 'arrive', 'soon'))"": True, ""trigram(('arrive', 'soon', 'day'))"": True, ""trigram(('soon', 'day', 'almost'))"": True, ""trigram(('day', 'almost', 'crazy'))"": True, ""trigram(('almost', 'crazy', 'god'))"": True, ""trigram(('crazy', 'god', 'willing'))"": True, ""trigram(('god', 'willing', 'worked'))"": True}",relief
200,jacqueedudu19-com,Piggies,['piggies'],"{'length': 7, 'lexdiv': 1.0, 'longestword': 'piggies', 'unigram(piggies)': True}",happiness
201,tiane-gregori4,My invitation is almost ready,"['invitation', 'almost', 'ready']","{'length': 23, 'lexdiv': 1.0, 'longestword': 'invitation', 'unigram(invitation)': True, 'unigram(almost)': True, 'unigram(ready)': True, ""bigram(('invitation', 'almost'))"": True, ""bigram(('almost', 'ready'))"": True, ""trigram(('invitation', 'almost', 'ready'))"": True}",surprise
202,vanessa-thiago-10-08-2019,"Girls, I made my individual invitations to dinner after the ceremony. Does anyone know if they need to sign or stamp on the back?","['girls', 'made', 'individual', 'invitations', 'dinner', 'ceremony', 'anyone', 'know', 'need', 'sign', 'stamp', 'back']","{'length': 82, 'lexdiv': 1.0, 'longestword': 'invitations', 'unigram(girls)': True, 'unigram(made)': True, 'unigram(individual)': True, 'unigram(invitations)': True, 'unigram(dinner)': True, 'unigram(ceremony)': True, 'unigram(anyone)': True, 'unigram(know)': True, 'unigram(need)': True, 'unigram(sign)': True, 'unigram(stamp)': True, 'unigram(back)': True, ""bigram(('girls', 'made'))"": True, ""bigram(('made', 'individual'))"": True, ""bigram(('individual', 'invitations'))"": True, ""bigram(('invitations', 'dinner'))"": True, ""bigram(('dinner', 'ceremony'))"": True, ""bigram(('ceremony', 'anyone'))"": True, ""bigram(('anyone', 'know'))"": True, ""bigram(('know', 'need'))"": True, ""bigram(('need', 'sign'))"": True, ""bigram(('sign', 'stamp'))"": True, ""bigram(('stamp', 'back'))"": True, ""trigram(('girls', 'made', 'individual'))"": True, ""trigram(('made', 'individual', 'invitations'))"": True, ""trigram(('individual', 'invitations', 'dinner'))"": True, ""trigram(('invitations', 'dinner', 'ceremony'))"": True, ""trigram(('dinner', 'ceremony', 'anyone'))"": True, ""trigram(('ceremony', 'anyone', 'know'))"": True, ""trigram(('anyone', 'know', 'need'))"": True, ""trigram(('know', 'need', 'sign'))"": True, ""trigram(('need', 'sign', 'stamp'))"": True, ""trigram(('sign', 'stamp', 'back'))"": True}",hate
203,charles-larissa,"Someone could help me, who has editable godparents' manual, I've tried every way I can't do it!","['someone', 'could', 'help', 'editable', 'godparents', 'manual', 'ive', 'tried', 'every', 'way', 'cant']","{'length': 70, 'lexdiv': 1.0, 'longestword': 'godparents', 'unigram(someone)': True, 'unigram(could)': True, 'unigram(help)': True, 'unigram(editable)': True, 'unigram(godparents)': True, 'unigram(manual)': True, 'unigram(ive)': True, 'unigram(tried)': True, 'unigram(every)': True, 'unigram(way)': True, 'unigram(cant)': True, ""bigram(('someone', 'could'))"": True, ""bigram(('could', 'help'))"": True, ""bigram(('help', 'editable'))"": True, ""bigram(('editable', 'godparents'))"": True, ""bigram(('godparents', 'manual'))"": True, ""bigram(('manual', 'ive'))"": True, ""bigram(('ive', 'tried'))"": True, ""bigram(('tried', 'every'))"": True, ""bigram(('every', 'way'))"": True, ""bigram(('way', 'cant'))"": True, ""trigram(('someone', 'could', 'help'))"": True, ""trigram(('could', 'help', 'editable'))"": True, ""trigram(('help', 'editable', 'godparents'))"": True, ""trigram(('editable', 'godparents', 'manual'))"": True, ""trigram(('godparents', 'manual', 'ive'))"": True, ""trigram(('manual', 'ive', 'tried'))"": True, ""trigram(('ive', 'tried', 'every'))"": True, ""trigram(('tried', 'every', 'way'))"": True, ""trigram(('every', 'way', 'cant'))"": True}",worry
204,pamela-yan,"Good morning, brides. Do you think a princess dress is a match for strapped or loose hair? I have doubts about what gets better","['good', 'morning', 'brides', 'think', 'princess', 'dress', 'match', 'strapped', 'loose', 'hair', 'doubts', 'gets', 'better']","{'length': 85, 'lexdiv': 1.0, 'longestword': 'strapped', 'unigram(good)': True, 'unigram(morning)': True, 'unigram(brides)': True, 'unigram(think)': True, 'unigram(princess)': True, 'unigram(dress)': True, 'unigram(match)': True, 'unigram(strapped)': True, 'unigram(loose)': True, 'unigram(hair)': True, 'unigram(doubts)': True, 'unigram(gets)': True, 'unigram(better)': True, ""bigram(('good', 'morning'))"": True, ""bigram(('morning', 'brides'))"": True, ""bigram(('brides', 'think'))"": True, ""bigram(('think', 'princess'))"": True, ""bigram(('princess', 'dress'))"": True, ""bigram(('dress', 'match'))"": True, ""bigram(('match', 'strapped'))"": True, ""bigram(('strapped', 'loose'))"": True, ""bigram(('loose', 'hair'))"": True, ""bigram(('hair', 'doubts'))"": True, ""bigram(('doubts', 'gets'))"": True, ""bigram(('gets', 'better'))"": True, ""trigram(('good', 'morning', 'brides'))"": True, ""trigram(('morning', 'brides', 'think'))"": True, ""trigram(('brides', 'think', 'princess'))"": True, ""trigram(('think', 'princess', 'dress'))"": True, ""trigram(('princess', 'dress', 'match'))"": True, ""trigram(('dress', 'match', 'strapped'))"": True, ""trigram(('match', 'strapped', 'loose'))"": True, ""trigram(('strapped', 'loose', 'hair'))"": True, ""trigram(('loose', 'hair', 'doubts'))"": True, ""trigram(('hair', 'doubts', 'gets'))"": True, ""trigram(('doubts', 'gets', 'better'))"": True}",happiness
205,glauber-cintia,Save the Date 19.10.2019,"['save', 'date', '19.10.2019']","{'length': 20, 'lexdiv': 1.0, 'longestword': '2019', 'unigram(save)': True, 'unigram(date)': True, 'unigram(19.10.2019)': True, ""bigram(('save', 'date'))"": True, ""bigram(('date', '19.10.2019'))"": True, ""trigram(('save', 'date', '19.10.2019'))"": True}",worry
206,rafael-pamella-2019,"The happiest day of my life, yes, it was mayor. 🤩","['happiest', 'day', 'life', 'yes', 'mayor', '🤩']","{'length': 29, 'lexdiv': 1.0, 'longestword': 'happiest', 'unigram(happiest)': True, 'unigram(day)': True, 'unigram(life)': True, 'unigram(yes)': True, 'unigram(mayor)': True, 'unigram(🤩)': True, ""bigram(('happiest', 'day'))"": True, ""bigram(('day', 'life'))"": True, ""bigram(('life', 'yes'))"": True, ""bigram(('yes', 'mayor'))"": True, ""bigram(('mayor', '🤩'))"": True, ""trigram(('happiest', 'day', 'life'))"": True, ""trigram(('day', 'life', 'yes'))"": True, ""trigram(('life', 'yes', 'mayor'))"": True, ""trigram(('yes', 'mayor', '🤩'))"": True}",love
